date,cash,position,position_value,portfolio_value,leverage,returns,cum_returns,drawdown,buy_hold_returns,buy_hold_cum_returns,buy_hold_drawdown
2005-01-14,1000000.0,0.0,0.0,1000000.0,0.0,,1.0,0.0,,1.0,0.0
2005-01-18,1000000.0,0.0,0.0,1000000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2005-01-19,1000000.0,0.0,0.0,1000000.0,0.0,0.0,1.0,0.0,-0.001417801836571253,0.9985821981634287,-0.001417801836571253
2005-01-20,1000000.0,0.0,0.0,1000000.0,0.0,0.0,1.0,0.0,-0.0002365906751138347,0.9983459429270086,-0.0016540570729913773
2005-01-21,1000000.0,0.0,0.0,1000000.0,0.0,0.0,1.0,0.0,0.011597672863119524,1.0099244325772985,0.0
2005-01-24,1000000.0,0.0,0.0,1000000.0,0.0,0.0,1.0,0.0,0.000701889988740767,1.010633288425909,0.0
2005-01-25,1000000.0,0.0,0.0,1000000.0,0.0,0.0,1.0,0.0,-0.012391834781958044,0.9981096876905884,-0.012391834781957892
2005-01-26,1000000.0,0.0,0.0,1000000.0,0.0,0.0,1.0,0.0,0.010653336419529147,1.0087428859771475,-0.0018705127472161084
2005-01-27,1000000.0,0.0,0.0,1000000.0,0.0,0.0,1.0,0.0,-0.0016397211777002818,1.0070888289041562,-0.0035071668055516583
2005-01-28,1000000.0,0.0,0.0,1000000.0,0.0,0.0,1.0,0.0,0.0016424142791764407,1.0087428859771475,-0.0018705127472161084
2005-01-31,1000000.0,0.0,0.0,1000000.0,0.0,0.0,1.0,0.0,-0.01100954371340268,0.9976370870783979,-0.012859462968761974
2005-02-01,1000000.0,0.0,0.0,1000000.0,0.0,0.0,1.0,0.0,-0.0028423198273901384,0.9948014834052553,-0.015665232089586357
2005-02-02,1000000.0,0.0,0.0,1000000.0,0.0,0.0,1.0,0.0,0.0014252108186632029,0.9962192852418268,-0.014262347529174
2005-02-03,1000000.0,0.0,0.0,1000000.0,0.0,0.0,1.0,0.0,-0.01138518842442049,0.984877140967307,-0.025485156439600313
